SKILLS AUDIT REPORT
================================================================================

Total Skills : 654
KEEP         : 38
DELETE       : 608
REVIEW       : 8

KEEP
--------------------------------------------------------------------------------
[701] Agile | profile_usage=2 | offer_usage=0
[753] Skill_4336f2de-4990-4d84-abdd-fa66df82ed4e | profile_usage=0 | offer_usage=0
[875] Skill_44182a82-d456-49a9-b0e4-7ff5aec83323 | profile_usage=0 | offer_usage=0
[756] Skill_4433a1d8-83dc-4150-9174-8adb31ad7092 | profile_usage=0 | offer_usage=0
[708] Skill_447da642-5409-46e4-8686-30648da555c7 | profile_usage=0 | offer_usage=0
[92] Skill_45035810-5950-4c26-9b70-9478e1b262cd | profile_usage=0 | offer_usage=0
[168] Skill_455be8fa-86da-480a-a46e-b86a3ddff193 | profile_usage=0 | offer_usage=0
[220] Skill_45acd665-c25f-4fdc-a663-d53f8fe45aa2 | profile_usage=0 | offer_usage=0
[516] Skill_45c1298d-ff93-4b64-b597-3d29075feaef | profile_usage=0 | offer_usage=0
[148] Skill_45e71de9-18fb-462d-9e9b-10e1afc67130 | profile_usage=0 | offer_usage=0
[486] Skill_478497f6-37a3-4031-933b-7ed960942b3e | profile_usage=0 | offer_usage=0
[184] Skill_47d39542-f51e-4634-9a64-1f410d7d5425 | profile_usage=0 | offer_usage=0
[576] Skill_47f37023-4774-4f63-8e4c-460eca13823a | profile_usage=0 | offer_usage=0
[795] Skill_48a37e05-06d8-4b40-8016-693d7c84b5d0 | profile_usage=0 | offer_usage=0
[614] Skill_49bde7be-e157-4158-b197-21f66fe94ceb | profile_usage=0 | offer_usage=0
[541] Skill_4a2ed386-69c6-49ee-a3a1-aa911e9e5f52 | profile_usage=0 | offer_usage=0
[171] Skill_4a76c7f5-836f-4492-b513-eb0947d8162d | profile_usage=0 | offer_usage=0
[37] Skill_4b821d7e-bd49-4887-a2e9-4b6bcebc7a7e | profile_usage=0 | offer_usage=0
[895] Skill_4b8a1619-c8fc-4046-8de9-935a3d3bcedd | profile_usage=0 | offer_usage=0
[804] Skill_4bc7c9f7-42bd-476f-b42c-0536eaef4812 | profile_usage=0 | offer_usage=0
[514] Skill_4c660fb1-ced9-41d7-b4ce-d5c076ec146d | profile_usage=0 | offer_usage=0
[211] Skill_4cb315ff-b339-4efb-91b2-caf07fa90c9f | profile_usage=0 | offer_usage=0
[72] Skill_4d750c10-3f01-42e5-a270-9405f537a412 | profile_usage=0 | offer_usage=0
[558] Skill_4dbf1c5a-a2e2-44ec-b68c-bb317089fdcc | profile_usage=0 | offer_usage=0
[910] Skill_4ec1bac0-a947-45d7-b3cf-23dd50dbd90c | profile_usage=0 | offer_usage=0
[474] Skill_4f88a07f-a630-4b96-9227-8ba1a6d53fc3 | profile_usage=0 | offer_usage=0
[630] Skill_50ec394f-68ec-4558-9027-4ad1092e22fb | profile_usage=0 | offer_usage=0
[620] Skill_511e2562-5a44-4a88-b1a2-9ab0db411d82 | profile_usage=0 | offer_usage=0
[90] Skill_5121cae9-8af7-4c9b-bcce-4d22712a66fa | profile_usage=0 | offer_usage=0
[147] Skill_5197f289-bd03-4525-8a25-d7e871510955 | profile_usage=0 | offer_usage=0
[518] Skill_52f5d899-dc88-49d2-9baa-3883228f2813 | profile_usage=0 | offer_usage=0
[826] Skill_5338953d-7dc5-4bb9-88a5-81d2462e4afd | profile_usage=0 | offer_usage=0
[812] Skill_53b24d29-b402-4e4d-a1fc-1e87e5596408 | profile_usage=0 | offer_usage=0
[750] Skill_53cb46d1-894c-49cc-8f75-b17085207efe | profile_usage=0 | offer_usage=0
[892] Skill_5453141c-0841-4de1-8b5c-224f91305dd0 | profile_usage=0 | offer_usage=0
[556] Skill_56140224-aa17-4faa-90a9-609e68019f38 | profile_usage=0 | offer_usage=0
[707] Skill_566f46a0-f0d6-4877-8984-bd0b5c988465 | profile_usage=0 | offer_usage=0
[552] Skill_567010eb-e97d-4fc8-a4f7-736d8c887ffe | profile_usage=0 | offer_usage=0
[568] Skill_56ce2dcf-2129-447e-a0f4-020e498311eb | profile_usage=0 | offer_usage=0
[234] Skill_56d63f28-f381-4001-963e-b74548aee22c | profile_usage=0 | offer_usage=0
[737] Skill_56f3ec84-c4e3-4df6-89f2-d6b063d385fb | profile_usage=0 | offer_usage=0
[166] Skill_573141f5-0cd0-44dc-98d2-cf186fc65bd5 | profile_usage=0 | offer_usage=0
[178] Skill_57e46e5c-cff1-4aa2-bde0-27daa62ebdc5 | profile_usage=0 | offer_usage=0
[179] Skill_57f9d0ab-5a03-4115-a973-374682f9fe48 | profile_usage=0 | offer_usage=0
[213] Skill_58bfc2e2-136e-4d18-9763-79f905d99bab | profile_usage=0 | offer_usage=0
[877] Skill_5908d281-6dca-4e9d-9e0e-0eaee547aa72 | profile_usage=0 | offer_usage=0
[764] Skill_5915be9b-345d-4c8d-9647-53ffd51ecb1b | profile_usage=0 | offer_usage=0
[531] Skill_5993024e-169b-4d08-90c2-fed53e69b3f1 | profile_usage=0 | offer_usage=0
[501] Skill_59fb2154-60ad-4187-a9b8-045e0752b196 | profile_usage=0 | offer_usage=0
[590] Skill_5a0dc8bd-550c-457d-b66b-11a1f9a5eff1 | profile_usage=0 | offer_usage=0
[57] Skill_5a672943-5d61-4545-80e6-b98e4e2cfcf9 | profile_usage=0 | offer_usage=0
[878] Skill_5aa2bc91-2ac6-4426-bade-7b74a18b9784 | profile_usage=0 | offer_usage=0
[591] Skill_5c4db020-48c5-44de-b227-64713824a4d9 | profile_usage=0 | offer_usage=0
[499] Skill_5d467ba8-c927-4eb3-ba94-8e151068ebfd | profile_usage=0 | offer_usage=0
[873] Skill_5d84c4c4-a24b-4167-b6dc-a22129c9d145 | profile_usage=0 | offer_usage=0
[119] Skill_5e51faae-ad46-4c6b-bcb3-6ac3981cb860 | profile_usage=0 | offer_usage=0
[709] Skill_5f416973-7785-485c-a46e-3f75eb957822 | profile_usage=0 | offer_usage=0
[887] Skill_6015591b-3e9e-4e7d-a021-9397fce815a3 | profile_usage=0 | offer_usage=0
[735] Skill_60365899-0f63-4c9b-93cf-46c924cbfd4c | profile_usage=0 | offer_usage=0
[521] Skill_6205b4f9-9de9-496d-9c01-911603807f8c | profile_usage=0 | offer_usage=0
[210] Skill_62e4823b-b35d-419c-b2ff-f4a9d35eb941 | profile_usage=0 | offer_usage=0
[212] Skill_632d1c5e-153b-4924-a459-27aac50844eb | profile_usage=0 | offer_usage=0
[765] Skill_635344d9-6ddb-495f-869a-ee89483c271b | profile_usage=0 | offer_usage=0
[73] Skill_63d342d3-43b6-460f-89a9-784cfe842fa4 | profile_usage=0 | offer_usage=0
[736] Skill_6445be81-165c-4a54-a2c0-8080d72b6a34 | profile_usage=0 | offer_usage=0
[467] Skill_65e77724-1937-4d0a-a81d-c393f087e422 | profile_usage=0 | offer_usage=0
[587] Skill_661b7028-d4b4-4f3f-a176-f7e89007d50b | profile_usage=0 | offer_usage=0
[606] Skill_668df12e-9a9e-4003-88cd-c6abe1999571 | profile_usage=0 | offer_usage=0
[637] Skill_671df98d-29e7-4605-a8df-eec20614d67b | profile_usage=0 | offer_usage=0
[712] Skill_679127fc-78d2-48a6-ac88-0824442112ac | profile_usage=0 | offer_usage=0
[857] Skill_684fb79c-6c77-428b-8d7f-c41bb0b8b72d | profile_usage=0 | offer_usage=0
[817] Skill_68f805b5-a1b8-4d6b-9a50-8f2ff572deac | profile_usage=0 | offer_usage=0
[626] Skill_691fcc19-142e-4ade-b685-da6dfe7a0f3d | profile_usage=0 | offer_usage=0
[659] Skill_693af1ba-641c-414c-80d9-c3463ca9a86d | profile_usage=0 | offer_usage=0
[593] Skill_6972dc57-4c46-467f-976d-3673822ef784 | profile_usage=0 | offer_usage=0
[660] Skill_6a348a16-df49-4ddd-8b37-9c0c2b167c4c | profile_usage=0 | offer_usage=0
[117] Skill_6a47b83a-6e8d-4d6c-a9e9-5dcd58e5ab05 | profile_usage=0 | offer_usage=0
[847] Skill_6a683121-299f-401d-8beb-a5b15a1cb090 | profile_usage=0 | offer_usage=0
[137] Skill_6ad14a1e-864a-4717-880b-d39b0addd23f | profile_usage=0 | offer_usage=0
[705] Skill_6be1eda2-3c29-4256-992e-13de998cd278 | profile_usage=0 | offer_usage=0
[784] Skill_6cfabeae-82a9-4393-a52f-8710370627eb | profile_usage=0 | offer_usage=0
[101] Skill_6d422359-7bbb-47a4-9d1d-5c441fce5744 | profile_usage=0 | offer_usage=0
[914] Skill_6da53bfd-7bdb-45b5-b8d5-d22631831fa5 | profile_usage=0 | offer_usage=0
[468] Skill_6db3118c-633a-465b-9431-e89f266dbe7f | profile_usage=0 | offer_usage=0
[890] Skill_6e4e2ad5-2d5c-41ad-b970-d9b56ed99116 | profile_usage=0 | offer_usage=0
[901] Skill_6e938792-2baf-44d5-83ae-68c264178a7d | profile_usage=0 | offer_usage=0
[818] Skill_6eed41a8-ed11-4324-bdee-a00bb5994e0c | profile_usage=0 | offer_usage=0
[149] Skill_6ef71163-8646-42b4-a76b-5bc2f42ebdaf | profile_usage=0 | offer_usage=0
[589] Skill_6f0c6607-3f09-4f88-ab36-268bb4a93533 | profile_usage=0 | offer_usage=0
[607] Skill_6f890c43-7273-4a75-9652-a71ca2b3cc32 | profile_usage=0 | offer_usage=0
[215] Skill_6f9a4e98-f6f3-450f-9a81-384ae30444ae | profile_usage=0 | offer_usage=0
[717] Skill_6fc200e5-34ee-4e37-bdf8-2afc8a2b5a1f | profile_usage=0 | offer_usage=0
[639] Skill_6fced6ed-b6f7-4637-bdf2-2f93c0e5c00e | profile_usage=0 | offer_usage=0
[879] Skill_70b1f126-a91a-4dd2-ab98-c87b07611262 | profile_usage=0 | offer_usage=0
[832] Skill_70d2d30e-a32c-42bb-861a-5faba8969dc8 | profile_usage=0 | offer_usage=0
[39] Skill_7134d2e7-36ee-442d-bb92-10799e53bfa6 | profile_usage=0 | offer_usage=0
[917] Skill_723cf67f-e1bf-4249-a8bd-3f194ac082ad | profile_usage=0 | offer_usage=0
[894] Skill_73414d80-b82c-4768-94ec-1aec345a6089 | profile_usage=0 | offer_usage=0
[665] Skill_73e1f0db-aee4-4e2c-a6d0-06ef33111097 | profile_usage=0 | offer_usage=0
[613] Skill_73eab560-7a83-4af2-b6e5-20a58c163f14 | profile_usage=0 | offer_usage=0
[154] Skill_741022e9-ab91-4d60-aca2-297ab3542e82 | profile_usage=0 | offer_usage=0
[807] Skill_743e3bd4-4c8c-4989-b88a-52a9a0251664 | profile_usage=0 | offer_usage=0
[896] Skill_7467725f-c919-43d7-93b6-135787ae9999 | profile_usage=0 | offer_usage=0
[229] Skill_7472b97d-a111-4d37-b2a6-9012aa16d07a | profile_usage=0 | offer_usage=0
[730] Skill_74803be0-905b-4fec-ab0a-04c4cfe2f2d9 | profile_usage=0 | offer_usage=0
[126] Skill_74980447-1807-4c7b-bdfa-6046e94c20b2 | profile_usage=0 | offer_usage=0
[644] Skill_74d5eacf-7740-4c74-9125-0dc885b63404 | profile_usage=0 | offer_usage=0
[102] Skill_751afcce-47c2-4d94-881d-6fc4dc88015a | profile_usage=0 | offer_usage=0
[485] Skill_75497642-d422-4372-a39e-6935b5442abd | profile_usage=0 | offer_usage=0
[223] Skill_76b0a3e0-ea6a-4a1e-a681-e34467084370 | profile_usage=0 | offer_usage=0
[182] Skill_78189955-82db-42b1-8a83-bab176002d65 | profile_usage=0 | offer_usage=0
[908] Skill_781abb74-087b-4199-8f7c-ca494c4d5b4b | profile_usage=0 | offer_usage=0
[198] Skill_78545808-f3ed-470c-bc49-e7d729913dee | profile_usage=0 | offer_usage=0
[585] Skill_7931ba9b-51a3-4d6e-8725-d5549cec1e47 | profile_usage=0 | offer_usage=0
[205] Skill_7996c815-92c7-4991-933d-6285e6527632 | profile_usage=0 | offer_usage=0
[893] Skill_7edf14a5-6b05-4943-9e4f-5a16c72c2a8b | profile_usage=0 | offer_usage=0
[100] Skill_7f3a11ed-9b33-4f73-9b6d-048b44e51758 | profile_usage=0 | offer_usage=0
[625] Skill_7f487e51-4e09-470b-939a-22b1708968f9 | profile_usage=0 | offer_usage=0
[747] Skill_7fc76a08-c574-4af3-b3cb-df617c8a8187 | profile_usage=0 | offer_usage=0
[629] Skill_7fca236c-e1c9-47fa-b676-c05fd19ce366 | profile_usage=0 | offer_usage=0
[63] Skill_80eb89cc-d178-4670-814a-8ac6b7d16c67 | profile_usage=0 | offer_usage=0
[136] Skill_81692a63-1973-4152-afca-d6edce930322 | profile_usage=0 | offer_usage=0
[507] Skill_81cbb8e0-cf8e-4c32-aa0e-f15559fe0b0c | profile_usage=0 | offer_usage=0
[36] Skill_82f3bc54-1eb0-46ee-9d4f-8a502cb68808 | profile_usage=0 | offer_usage=0
[127] Skill_840bba34-be70-4681-b5d1-e3f45f6e044e | profile_usage=0 | offer_usage=0
[661] Skill_842eb1c8-64ae-4ed3-a0b7-888f65d6f041 | profile_usage=0 | offer_usage=0
[830] Skill_8518ec85-8286-4b3b-95f7-f5b9ac4c7fba | profile_usage=0 | offer_usage=0
[912] Skill_85d32451-c67e-47db-86dc-0b3d0894635b | profile_usage=0 | offer_usage=0
[808] Skill_85e121f5-731c-47e5-b38e-20cbe748c3a7 | profile_usage=0 | offer_usage=0
[586] Skill_878296cf-2021-48ec-9c13-adb2046c9bf4 | profile_usage=0 | offer_usage=0
[636] Skill_87ade82b-3c21-4f58-b1f4-7787fe4b724f | profile_usage=0 | offer_usage=0
[524] Skill_87c042ea-e35e-4ced-aa8e-b971aa565b23 | profile_usage=0 | offer_usage=0
[539] Skill_87e6efb5-31f1-4fcf-90ca-5bb600f4332e | profile_usage=0 | offer_usage=0
[921] Skill_8812a1a0-e3aa-4b38-99e4-7308e8e2a921 | profile_usage=0 | offer_usage=0
[748] Skill_88374042-f1eb-4f13-be00-0179dd80bb4b | profile_usage=0 | offer_usage=0
[610] Skill_887568c5-0650-4298-bfcb-d71434bfe607 | profile_usage=0 | offer_usage=0
[869] Skill_894ddbcb-413e-4399-b80e-16cd823f54cc | profile_usage=0 | offer_usage=0
[858] Skill_89952535-28fb-44c9-98df-27e396bde3df | profile_usage=0 | offer_usage=0
[911] Skill_8a0046fd-e6fb-45e7-86db-1e532e6ddeac | profile_usage=0 | offer_usage=0
[209] Skill_8a2e0a50-0ad9-4a22-ad15-ae5c6c3f2f12 | profile_usage=0 | offer_usage=0
[108] Skill_8abc2905-830e-4789-8e41-6af56bb096c5 | profile_usage=0 | offer_usage=0
[814] Skill_8b6ec2fa-ff13-430d-8edc-b140ea15427e | profile_usage=0 | offer_usage=0
[187] Skill_8b948015-9a51-40d1-a44e-e655d60359be | profile_usage=0 | offer_usage=0
[472] Skill_8c4deaa8-a05b-4316-bfbc-505a7a330757 | profile_usage=0 | offer_usage=0
[815] Skill_8c68a9ce-9a2a-4f56-b4fe-2e145657dbe8 | profile_usage=0 | offer_usage=0
[797] Skill_8dd3cf22-a94a-4852-8226-3daf0f47ad60 | profile_usage=0 | offer_usage=0
[837] Skill_8dde39d4-bac4-4cb3-ab70-4afe92658e6f | profile_usage=0 | offer_usage=0
[731] Skill_8dfa27d9-647a-4168-bc22-bfef27a65d3e | profile_usage=0 | offer_usage=0
[716] Skill_8f861e21-a4a9-4a96-90c0-ecc058ccd8b2 | profile_usage=0 | offer_usage=0
[231] Skill_8f99e4b2-66f0-4938-9890-7516dd13d75e | profile_usage=0 | offer_usage=0
[180] Skill_8fc03b81-6901-4de5-a0af-13114a447033 | profile_usage=0 | offer_usage=0
[519] Skill_91385445-140e-4238-be35-4cf63c88d26c | profile_usage=0 | offer_usage=0
[99] Skill_91922793-4e94-453f-963f-50c623f2e9bf | profile_usage=0 | offer_usage=0
[482] Skill_928cc5d7-c88e-477f-8110-7fa740a37b11 | profile_usage=0 | offer_usage=0
[33] Skill_944e8e22-0564-4511-b26e-7b2b1560e56e | profile_usage=0 | offer_usage=0
[746] Skill_94b1d083-d37b-4cf2-a786-a64543c54cb0 | profile_usage=0 | offer_usage=0
[872] Skill_95004538-dfd1-498c-94d2-d4adeaa20620 | profile_usage=0 | offer_usage=0
[135] Skill_953fe0ca-3e60-4129-96b6-5acc591864e7 | profile_usage=0 | offer_usage=0
[222] Skill_955b0f9c-3be7-4b28-9610-83352049d93d | profile_usage=0 | offer_usage=0
[595] Skill_96e9188e-766b-43d8-9053-26f7914e2053 | profile_usage=0 | offer_usage=0
[734] Skill_982f6603-6dc0-4279-9dd7-4be6d5057cc7 | profile_usage=0 | offer_usage=0
[200] Skill_985e092f-d5ce-4799-95f4-577f3814abad | profile_usage=0 | offer_usage=0
[38] Skill_98e946d0-9810-44b5-9dfd-1767812c5dba | profile_usage=0 | offer_usage=0
[919] Skill_9939d23a-ed4b-4602-92c8-adfaf2807f7a | profile_usage=0 | offer_usage=0
[713] Skill_9957bebd-6c49-4b51-a9f6-c97f7cd195b1 | profile_usage=0 | offer_usage=0
[880] Skill_995d9be9-7f2c-406c-8310-ec8a25ed4202 | profile_usage=0 | offer_usage=0
[45] Skill_999259a7-0b16-4603-aa2e-fcd39651a756 | profile_usage=0 | offer_usage=0
[641] Skill_9a050a18-ecb4-446d-bf5e-66170c7e3954 | profile_usage=0 | offer_usage=0
[664] Skill_9ad9ccf3-3442-46eb-8af6-48f92515adb6 | profile_usage=0 | offer_usage=0
[199] Skill_9b022fd6-c13d-460d-b660-e5292d5c0bd3 | profile_usage=0 | offer_usage=0
[489] Skill_9b880420-e7de-45dc-8e47-13d80646b384 | profile_usage=0 | offer_usage=0
[111] Skill_9bc2eef9-1a67-4e36-addf-29e9795bd44f | profile_usage=0 | offer_usage=0
[230] Skill_9c63a936-8475-4f88-9ba2-477a44e37c69 | profile_usage=0 | offer_usage=0
[155] Skill_9cf55420-edb5-4cd0-809d-20838a44228e | profile_usage=0 | offer_usage=0
[542] Skill_9f4ed787-5d99-442d-88e3-ef22f2d4818b | profile_usage=0 | offer_usage=0
[161] Skill_9fd5872a-0280-429e-8c41-50e64627b837 | profile_usage=0 | offer_usage=0
[773] Skill_a0b6ca44-fa66-4b6b-8f94-6d3012fe7214 | profile_usage=0 | offer_usage=0
[151] Skill_a11c34cd-b822-4a29-8a50-454539774e04 | profile_usage=0 | offer_usage=0
[536] Skill_a178a3ec-d401-4849-b96c-b4eaa4f29798 | profile_usage=0 | offer_usage=0
[167] Skill_a1791a70-632f-4e66-b7ec-48c26896e4de | profile_usage=0 | offer_usage=0
[466] Skill_a22589d6-f7ea-4ee3-a17f-956d7f2a9517 | profile_usage=0 | offer_usage=0
[859] Skill_a257b7da-a392-4d98-a559-cab88ddbe7ba | profile_usage=0 | offer_usage=0
[567] Skill_a27d5b41-3beb-4084-a27a-068f79c4a819 | profile_usage=0 | offer_usage=0
[836] Skill_a3123473-daba-49e0-9bc1-156d4a0c5860 | profile_usage=0 | offer_usage=0
[827] Skill_a31934a5-0cb0-4383-a359-dc7659910f65 | profile_usage=0 | offer_usage=0
[54] Skill_a3b08367-2645-4703-ab17-66ca8ad9b172 | profile_usage=0 | offer_usage=0
[745] Skill_a554d24c-e482-4c2f-bc4d-f307d268aed4 | profile_usage=0 | offer_usage=0
[488] Skill_a5f159d4-eef8-4a9f-af81-12693e930079 | profile_usage=0 | offer_usage=0
[752] Skill_a69f0baa-858b-472b-be75-4fd2ca128019 | profile_usage=0 | offer_usage=0
[810] Skill_a75b7f89-1a9b-4e2e-9b5f-c7b71cef5068 | profile_usage=0 | offer_usage=0
[233] Skill_a79c78e2-f427-4600-8492-23251394fc19 | profile_usage=0 | offer_usage=0
[603] Skill_a7adde3d-a56e-498d-8839-424ffc9d34e0 | profile_usage=0 | offer_usage=0
[138] Skill_a7d3fd05-fb0a-4fbb-807e-222d38076c78 | profile_usage=0 | offer_usage=0
[596] Skill_a8a79bbe-70b9-4372-b21e-2a77f2750014 | profile_usage=0 | offer_usage=0
[766] Skill_a8b8adbe-0096-4835-8cff-05b059856fed | profile_usage=0 | offer_usage=0
[572] Skill_a9f0becf-457d-45f8-9997-d179d9824ef3 | profile_usage=0 | offer_usage=0
[727] Skill_aa5e1bb4-80e3-423e-9d27-dd506d1e1e30 | profile_usage=0 | offer_usage=0
[594] Skill_aa7f3d34-bd8b-4091-9137-ddcd86e4181f | profile_usage=0 | offer_usage=0
[165] Skill_ab053149-7692-4ccb-b3ce-9f9d850f66ad | profile_usage=0 | offer_usage=0
[642] Skill_ab0ed751-70bf-4b15-b117-2142ec56063e | profile_usage=0 | offer_usage=0
[633] Skill_ab297038-3383-4012-9903-8464bace0935 | profile_usage=0 | offer_usage=0
[635] Skill_ac06a7cc-a75c-438f-95e5-de6c5a085000 | profile_usage=0 | offer_usage=0
[508] Skill_ac5ffde4-7234-43f6-9ab9-62a52a0a3684 | profile_usage=0 | offer_usage=0
[638] Skill_ad1b017f-f9c9-4547-9a37-9173b871130d | profile_usage=0 | offer_usage=0
[164] Skill_ad22df75-9cef-4ee7-a29e-2003d20e4c4f | profile_usage=0 | offer_usage=0
[84] Skill_ad3917d2-ceab-4e50-b319-6baae0e96fe4 | profile_usage=0 | offer_usage=0
[532] Skill_ad9f3d2c-7304-4e5b-b03a-a3d244ab66e4 | profile_usage=0 | offer_usage=0
[146] Skill_aef9722c-1efc-478b-bacc-26cec9547868 | profile_usage=0 | offer_usage=0
[608] Skill_af31b9bf-ba1d-4c86-b9c0-d8479f9cd461 | profile_usage=0 | offer_usage=0
[631] Skill_afe9aa34-0398-4b3c-b05e-534790d556eb | profile_usage=0 | offer_usage=0
[643] Skill_b0c1b74e-fe52-408a-a949-0942907df025 | profile_usage=0 | offer_usage=0
[918] Skill_b1875a94-291a-4fc0-8cf0-0aa85a4a5721 | profile_usage=0 | offer_usage=0
[853] Skill_b2891b7a-c0d4-483b-8cca-f68f8a5c29cb | profile_usage=0 | offer_usage=0
[75] Skill_b2c1d582-8cac-419c-82f1-be9cdb7b1f82 | profile_usage=0 | offer_usage=0
[500] Skill_b30f03ad-15a5-4eea-9dc4-54579f606bd7 | profile_usage=0 | offer_usage=0
[809] Skill_b44d04da-0382-40dc-8e23-c2d5c4f773fc | profile_usage=0 | offer_usage=0
[118] Skill_b4d830c8-b6df-4344-b7a1-1da5204c3d3c | profile_usage=0 | offer_usage=0
[867] Skill_b56909a5-3c6a-4de6-9f3b-98d63c3cc555 | profile_usage=0 | offer_usage=0
[749] Skill_b575e1d5-915e-4798-9013-b4b989c7ecfa | profile_usage=0 | offer_usage=0
[726] Skill_b5959789-3426-4603-a3cf-a25c7192e912 | profile_usage=0 | offer_usage=0
[584] Skill_b693387a-e69d-4ffa-b0a2-3d89538a7298 | profile_usage=0 | offer_usage=0
[714] Skill_b6d20c5f-13c9-4b52-a2b2-62ade7d30d83 | profile_usage=0 | offer_usage=0
[506] Skill_b731fc1a-ce45-4103-b415-784860f76164 | profile_usage=0 | offer_usage=0
[778] Skill_b7b98c5e-5748-4262-ae19-27e624b44909 | profile_usage=0 | offer_usage=0
[611] Skill_b80736fd-8df8-4afc-b240-6bf7f17df93c | profile_usage=0 | offer_usage=0
[34] Skill_b887e28c-8ebf-455a-9684-cffcfdb61504 | profile_usage=0 | offer_usage=0
[483] Skill_b8e7d7d9-c2c4-4915-ad87-a3cfbec462e2 | profile_usage=0 | offer_usage=0
[876] Skill_b91b4c23-a914-443b-807f-53aa1794d83c | profile_usage=0 | offer_usage=0
[768] Skill_b9ca1303-ea16-48b7-8bda-9bf25815f98d | profile_usage=0 | offer_usage=0
[578] Skill_ba667efb-e319-4090-a74e-b3c0488787da | profile_usage=0 | offer_usage=0
[35] Skill_bad93b9a-391e-47e7-8641-9647c03c62c7 | profile_usage=0 | offer_usage=0
[729] Skill_bb04bd91-5a14-405a-a663-6737f6d9fe16 | profile_usage=0 | offer_usage=0
[216] Skill_bb09bdd4-3222-4a61-8394-eb7850f8d045 | profile_usage=0 | offer_usage=0
[824] Skill_bb4f13c2-c462-4a00-8b0b-c90da60ff68a | profile_usage=0 | offer_usage=0
[774] Skill_bc68bc32-91da-48d1-a22f-ec62db516cca | profile_usage=0 | offer_usage=0
[792] Skill_bec7fd77-a060-4d28-b1c2-fc0f414d6d93 | profile_usage=0 | offer_usage=0
[559] Skill_bfd27db9-3633-4dc0-b9d5-3db343c5d11d | profile_usage=0 | offer_usage=0
[550] Skill_c11a946b-3482-40a7-a9e4-70d06606b10f | profile_usage=0 | offer_usage=0
[120] Skill_c2f0b888-b66d-4503-b88d-655d51113ccb | profile_usage=0 | offer_usage=0
[652] Skill_c31ae88c-d133-4f5d-911b-ce022ed0fca9 | profile_usage=0 | offer_usage=0
[207] Skill_c3952e82-f7d6-43b9-bd96-f206f80d047c | profile_usage=0 | offer_usage=0
[769] Skill_c3fb8e99-16c3-47a9-aa68-c344f4fd9ad9 | profile_usage=0 | offer_usage=0
[144] Skill_c57e73f4-cf6d-4826-939d-eae9d132d893 | profile_usage=0 | offer_usage=0
[794] Skill_c58a92da-462f-4cd4-beaf-0aa97340cc95 | profile_usage=0 | offer_usage=0
[225] Skill_c6aa1ac5-d153-4bd2-8aec-ac714c4cbfc8 | profile_usage=0 | offer_usage=0
[920] Skill_c6e5397a-72ec-4657-8afe-10235b0b96c4 | profile_usage=0 | offer_usage=0
[724] Skill_c6f6cf5d-2fd1-482b-9b60-91a0e1655c16 | profile_usage=0 | offer_usage=0
[554] Skill_c91ee15f-454d-4208-bf82-824598cd609f | profile_usage=0 | offer_usage=0
[163] Skill_c9673789-303f-4a83-9baf-f6120933a597 | profile_usage=0 | offer_usage=0
[535] Skill_cb477a09-8b88-49f8-a973-635a839f165f | profile_usage=0 | offer_usage=0
[181] Skill_ce51fda7-390c-4645-9cab-6beeebc22f02 | profile_usage=0 | offer_usage=0
[577] Skill_cedfaf49-8e45-4fa0-aec7-9befb994257a | profile_usage=0 | offer_usage=0
[464] Skill_cf558f0e-5bbf-4d9f-8c2c-2da64fc3e9ad | profile_usage=0 | offer_usage=0
[891] Skill_d085f9e1-e490-4646-9888-256988dcfe6c | profile_usage=0 | offer_usage=0
[868] Skill_d0e19101-b14c-4d4f-8c95-841a77094502 | profile_usage=0 | offer_usage=0
[852] Skill_d25f139f-83d8-4874-a352-4e663faf5ac4 | profile_usage=0 | offer_usage=0
[755] Skill_d2b17da4-2c91-4dc9-9e5b-7229dded7bf9 | profile_usage=0 | offer_usage=0
[465] Skill_d2be1f30-d7a3-4828-8d2d-172aadbe522d | profile_usage=0 | offer_usage=0
[232] Skill_d2e9f073-e205-403f-a59e-c5cd1870a93e | profile_usage=0 | offer_usage=0
[621] Skill_d361684f-cdd4-4c15-b141-2d189ca86b00 | profile_usage=0 | offer_usage=0
[789] Skill_d397b118-ccf9-4983-92ac-1c256b99ebb9 | profile_usage=0 | offer_usage=0
[551] Skill_d3d5fc90-7340-43ee-8f01-f6fd06a2f2bf | profile_usage=0 | offer_usage=0
[733] Skill_d3ef86cd-da9c-4973-944e-48487b56da4c | profile_usage=0 | offer_usage=0
[772] Skill_d49f16fe-931b-4bad-ae4a-9ef506191108 | profile_usage=0 | offer_usage=0
[515] Skill_d4c37bd6-9c17-4fa3-8e50-ec35a783dfed | profile_usage=0 | offer_usage=0
[788] Skill_d4ce8a5c-e19d-492e-8eda-8320271bf561 | profile_usage=0 | offer_usage=0
[145] Skill_d5297b6b-699a-41dc-b2f7-91c59263833e | profile_usage=0 | offer_usage=0
[497] Skill_d529f935-6679-4f7f-99d3-004520c43780 | profile_usage=0 | offer_usage=0
[899] Skill_d5353313-4d63-4135-93c9-e6269f8b957b | profile_usage=0 | offer_usage=0
[758] Skill_d6865b5d-cfe3-4148-8e58-857db57be91f | profile_usage=0 | offer_usage=0
[897] Skill_d68f1740-4023-4d39-b1b6-d4bb882b5607 | profile_usage=0 | offer_usage=0
